url,api,get,post,put,patch,delete
/v1/buildings/{id}/history,pro,False,False,N/A,N/A,N/A
/v1/buildings/{id}/history/export,pro,N/A,False,N/A,N/A,N/A
/v1/cache-settings,pro,False,N/A,False,N/A,N/A
/v1/categories,pro,False,False,N/A,N/A,N/A
/v1/categories/delete-multiple,pro,N/A,False,N/A,N/A,N/A
/v1/categories/{id},pro,False,N/A,False,N/A,False
/v1/categories/{id}/history,pro,False,False,N/A,N/A,N/A
/v1/classic-ldap/{id},pro,False,N/A,N/A,N/A,N/A
/v1/cloud-azure,pro,N/A,False,N/A,N/A,N/A
/v1/cloud-azure/defaults/mappings,pro,False,N/A,N/A,N/A,N/A
/v1/cloud-azure/defaults/server-configuration,pro,False,N/A,N/A,N/A,N/A
/v1/cloud-azure/{id},pro,False,N/A,False,N/A,False
/v1/cloud-idp,pro,False,N/A,N/A,N/A,N/A
/v1/cloud-idp/export,pro,N/A,False,N/A,N/A,N/A
/v1/cloud-idp/{id},pro,False,N/A,N/A,N/A,N/A
/v1/cloud-idp/{id}/history,pro,False,False,N/A,N/A,N/A
/v1/cloud-idp/{id}/test-group,pro,N/A,False,N/A,N/A,N/A
/v1/cloud-idp/{id}/test-user,pro,N/A,False,N/A,N/A,N/A
/v1/cloud-idp/{id}/test-user-membership,pro,N/A,False,N/A,N/A,N/A
/v1/cloud-information,pro,False,N/A,N/A,N/A,N/A
/v1/computer-groups,pro,False,N/A,N/A,N/A,N/A
/v1/computer-inventory-collection-settings,pro,False,N/A,N/A,False,N/A
/v1/computer-inventory-collection-settings/custom-path,pro,N/A,False,N/A,N/A,N/A
/v1/computer-inventory-collection-settings/custom-path/{id},pro,N/A,N/A,N/A,N/A,False
/v1/computer-prestages/scope,pro,False,N/A,N/A,N/A,N/A
/v1/computer-prestages/{id}/scope,pro,False,False,False,N/A,False
/v1/computers-inventory,pro,False,N/A,N/A,N/A,N/A
/v1/computers-inventory-detail/{id},pro,False,N/A,N/A,False,N/A
/v1/computers-inventory/filevault,pro,False,N/A,N/A,N/A,N/A
/v1/computers-inventory/{id},pro,False,N/A,N/A,N/A,False
/v1/computers-inventory/{id}/attachments,pro,N/A,False,N/A,N/A,N/A
/v1/computers-inventory/{id}/attachments/{attachmentId},pro,False,N/A,N/A,N/A,False
/v1/computers-inventory/{id}/filevault,pro,False,N/A,N/A,N/A,N/A
/v1/computers-inventory/{id}/view-recovery-lock-password,pro,False,N/A,N/A,N/A,N/A
/v1/computers/{id}/recalculate-smart-groups,pro,N/A,False,N/A,N/A,N/A
/v1/conditional-access/device-compliance-information/computer/{deviceId},pro,False,N/A,N/A,N/A,N/A
/v1/conditional-access/device-compliance-information/mobile/{deviceId},pro,False,N/A,N/A,N/A,N/A
/v1/csa/token,pro,False,False,False,N/A,False
/v1/dashboard,pro,False,N/A,N/A,N/A,N/A
/v1/departments,pro,False,False,N/A,N/A,N/A
/v1/departments/delete-multiple,pro,N/A,False,N/A,N/A,N/A
/v1/departments/{id},pro,False,N/A,False,N/A,False
/v1/departments/{id}/history,pro,False,False,N/A,N/A,N/A
/v1/deploy-package,pro,N/A,False,N/A,N/A,N/A
/v1/device-communication-settings,pro,False,N/A,False,N/A,N/A
