url,api,get,post,put,patch,delete,priority,assignee
/computermanagement/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/username/{username},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/username/{username}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computermanagement/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/computermanagement/name/{name},classic,False,N/A,N/A,N/A,N/A
/computermanagement/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/computermanagement/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/computerreports,classic,False,N/A,N/A,N/A,N/A
/computerreports/id/{id},classic,False,N/A,N/A,N/A,N/A
/computerreports/name/{name},classic,False,N/A,N/A,N/A,N/A
/computers,classic,True,N/A,N/A,N/A,N/A
/computers/extensionattributedataflush/id/{id},classic,N/A,N/A,N/A,N/A,False
/computers/id/{id},classic,True,False,True,N/A,True
/computers/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computers/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/computers/match/name/{matchname},classic,False,N/A,N/A,N/A,N/A
/computers/match/{match},classic,False,N/A,N/A,N/A,N/A
/computers/name/{name},classic,True,N/A,N/A,N/A,N/A
/computers/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/computers/subset/basic,classic,False,N/A,N/A,N/A,N/A
/computers/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/departments,classic,True,N/A,N/A,N/A,N/A
/departments/id/{id},classic,True,False,True,N/A,True
/departments/name/{name},classic,True,N/A,N/A,N/A,N/A
/directorybindings,classic,True,N/A,N/A,N/A,N/A
/directorybindings/id/{id},classic,True,False,True,N/A,True
/directorybindings/name/{name},classic,True,N/A,N/A,N/A,N/A
/diskencryptionconfigurations,classic,True,N/A,N/A,N/A,N/A
/diskencryptionconfigurations/id/{id},classic,True,False,True,N/A,True
/diskencryptionconfigurations/name/{name},classic,True,N/A,N/A,N/A,N/A
