url,api,get,post,put,patch,delete
/computerhardwaresoftwarereports/id/{id}/{start_date}_{end_date}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computerhardwaresoftwarereports/macaddress/{macaddress}/{start_date}_{end_date},classic,False,N/A,N/A,N/A,N/A
/computerhardwaresoftwarereports/name/{name}/{start_date}_{end_date},classic,False,N/A,N/A,N/A,N/A
/computerhardwaresoftwarereports/serialnumber/{serialnumber}/{start_date}_{end_date},classic,False,N/A,N/A,N/A,N/A
/computerhardwaresoftwarereports/udid/{udid}/{start_date}_{end_date},classic,False,N/A,N/A,N/A,N/A
/computerhistory/id/{id},classic,False,N/A,N/A,N/A,N/A
/computerhistory/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computerhistory/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/computerhistory/name/{name},classic,False,N/A,N/A,N/A,N/A
/computerhistory/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/computerhistory/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/computerinventorycollection,classic,False,N/A,False,N/A,N/A
/computerinvitations,classic,False,N/A,N/A,N/A,N/A
/computerinvitations/id/{id},classic,False,False,N/A,N/A,False
/computerinvitations/invitation/{invitation},classic,False,N/A,N/A,N/A,N/A
/computerinvitations/name/{name},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/patchfilter/{filter},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/username/{username},classic,False,N/A,N/A,N/A,N/A
/computermanagement/id/{id}/username/{username}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computermanagement/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/computermanagement/name/{name},classic,False,N/A,N/A,N/A,N/A
/computermanagement/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/computermanagement/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/computerreports,classic,False,N/A,N/A,N/A,N/A
/computerreports/id/{id},classic,False,N/A,N/A,N/A,N/A
/computerreports/name/{name},classic,False,N/A,N/A,N/A,N/A
/computers,classic,False,N/A,N/A,N/A,N/A
/computers/extensionattributedataflush/id/{id},classic,N/A,N/A,N/A,N/A,False
/computers/id/{id},classic,False,False,False,N/A,False
/computers/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/computers/macaddress/{macaddress},classic,False,N/A,N/A,N/A,N/A
/computers/match/name/{matchname},classic,False,N/A,N/A,N/A,N/A
/computers/match/{match},classic,False,N/A,N/A,N/A,N/A
/computers/name/{name},classic,False,N/A,N/A,N/A,N/A
/computers/serialnumber/{serialnumber},classic,False,N/A,N/A,N/A,N/A
/computers/subset/basic,classic,False,N/A,N/A,N/A,N/A
/computers/udid/{udid},classic,False,N/A,N/A,N/A,N/A
/departments,classic,False,N/A,N/A,N/A,N/A
/departments/id/{id},classic,False,False,False,N/A,False
/departments/name/{name},classic,False,N/A,N/A,N/A,N/A
/directorybindings,classic,False,N/A,N/A,N/A,N/A
/directorybindings/id/{id},classic,False,False,False,N/A,False
/directorybindings/name/{name},classic,False,N/A,N/A,N/A,N/A
/diskencryptionconfigurations,classic,False,N/A,N/A,N/A,N/A
/diskencryptionconfigurations/id/{id},classic,False,False,False,N/A,False
/diskencryptionconfigurations/name/{name},classic,False,N/A,N/A,N/A,N/A
/distributionpoints,classic,False,N/A,N/A,N/A,N/A
/distributionpoints/id/{id},classic,False,False,False,N/A,False
/distributionpoints/name/{name},classic,False,N/A,N/A,N/A,N/A
/dockitems,classic,False,N/A,N/A,N/A,N/A
/dockitems/id/{id},classic,False,False,False,N/A,False
/dockitems/name/{name},classic,False,N/A,N/A,N/A,N/A
/ebooks,classic,False,N/A,N/A,N/A,N/A
/ebooks/id/{id},classic,False,False,False,N/A,False
/ebooks/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/ebooks/name/{name},classic,False,N/A,N/A,N/A,N/A
/fileuploads/{resource}/{idType}/{id},classic,N/A,False,N/A,N/A,N/A
/gsxconnection,classic,False,N/A,False,N/A,N/A
/healthcarelistener,classic,False,N/A,N/A,N/A,N/A
/healthcarelistener/id/{id},classic,False,N/A,False,N/A,N/A
/healthcarelistenerrule,classic,False,N/A,N/A,N/A,N/A
/healthcarelistenerrule/id/{id},classic,False,False,False,N/A,N/A
/ibeacons,classic,False,N/A,N/A,N/A,N/A
/ibeacons/id/{id},classic,False,False,False,N/A,False
/ibeacons/name/{name},classic,False,N/A,N/A,N/A,N/A
/infrastructuremanager,classic,False,N/A,N/A,N/A,N/A
/infrastructuremanager/id/{id},classic,False,N/A,False,N/A,N/A
/jsonwebtokenconfigurations,classic,False,N/A,N/A,N/A,N/A
/jsonwebtokenconfigurations/id/{id},classic,False,False,False,N/A,False
/jssuser,classic,False,N/A,N/A,N/A,N/A
/ldapservers,classic,False,N/A,N/A,N/A,N/A
/ldapservers/id/{id},classic,False,False,False,N/A,False
/ldapservers/id/{id}/group/{group},classic,False,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/group/{group}/user/{user},classic,False,N/A,N/A,N/A,N/A
/ldapservers/id/{id}/user/{user},classic,False,N/A,N/A,N/A,N/A
/ldapservers/name/{name},classic,False,N/A,N/A,N/A,N/A
/licensedsoftware,classic,False,N/A,N/A,N/A,N/A
/licensedsoftware/id/{id},classic,False,False,False,N/A,False
/licensedsoftware/name/{name},classic,False,N/A,N/A,N/A,N/A
/logflush,classic,N/A,N/A,N/A,N/A,False
/logflush/{log}/id/{id}/interval/{interval},classic,N/A,N/A,N/A,N/A,False
/logflush/{log}/interval/{interval},classic,N/A,N/A,N/A,N/A,False
/macapplications,classic,False,N/A,N/A,N/A,N/A
/macapplications/id/{id},classic,False,False,False,N/A,False
/macapplications/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/macapplications/name/{name},classic,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles,classic,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/id/{id},classic,False,False,False,N/A,False
/managedpreferenceprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/managedpreferenceprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications/bundleid/{bundleid}/version/{version},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications/id/{id},classic,False,False,False,N/A,False
/mobiledeviceapplications/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceapplications/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicecommands,classic,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/command,classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceLock/{lock_message}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/DeviceName/{device_name}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/ScheduleOSUpdate/{install_action}/{product_version}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/command/{command},classic,False,False,N/A,N/A,N/A
/mobiledevicecommands/command/{command}/id/{id_list},classic,N/A,False,N/A,N/A,N/A
/mobiledevicecommands/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledevicecommands/uuid/{uuid},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/id/{id},classic,False,False,False,N/A,False
/mobiledeviceconfigurationprofiles/id/{id}/subset/{subset},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceconfigurationprofiles/name/{name},classic,False,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles,classic,False,N/A,N/A,N/A,N/A
/mobiledeviceenrollmentprofiles/id/{id},classic,False,False,False,N/A,False
