url,api,get,post,put,patch,delete
/computers/extensionattributedataflush/id/{id},pro,N/A,N/A,N/A,N/A,False
/computers/id/{id},pro,True,False,True,N/A,True
/computers/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/computers/macaddress/{macaddress},pro,False,N/A,N/A,N/A,N/A
/computers/match/name/{matchname},pro,False,N/A,N/A,N/A,N/A
/computers/match/{match},pro,False,N/A,N/A,N/A,N/A
/computers/name/{name},pro,True,N/A,N/A,N/A,N/A
/computers/serialnumber/{serialnumber},pro,False,N/A,N/A,N/A,N/A
/computers/subset/basic,pro,False,N/A,N/A,N/A,N/A
/computers/udid/{udid},pro,False,N/A,N/A,N/A,N/A
/departments,pro,True,N/A,N/A,N/A,N/A
/departments/id/{id},pro,True,False,True,N/A,True
/departments/name/{name},pro,True,N/A,N/A,N/A,N/A
/directorybindings,pro,True,N/A,N/A,N/A,N/A
/directorybindings/id/{id},pro,True,False,True,N/A,True
/directorybindings/name/{name},pro,True,N/A,N/A,N/A,N/A
/diskencryptionconfigurations,pro,True,N/A,N/A,N/A,N/A
/diskencryptionconfigurations/id/{id},pro,True,False,True,N/A,True
/diskencryptionconfigurations/name/{name},pro,True,N/A,N/A,N/A,N/A
/distributionpoints,pro,True,N/A,N/A,N/A,N/A
/distributionpoints/id/{id},pro,True,False,True,N/A,True
/distributionpoints/name/{name},pro,True,N/A,N/A,N/A,N/A
/dockitems,pro,True,N/A,N/A,N/A,N/A
/dockitems/id/{id},pro,True,False,True,N/A,True
/dockitems/name/{name},pro,True,N/A,N/A,N/A,N/A
/ebooks,pro,True,N/A,N/A,N/A,N/A
/ebooks/id/{id},pro,True,False,True,N/A,True
/ebooks/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/ebooks/name/{name},pro,True,N/A,N/A,N/A,N/A
/fileuploads/{resource}/{idType}/{id},pro,N/A,False,N/A,N/A,N/A
/gsxconnection,pro,False,N/A,False,N/A,N/A
/healthcarelistener,pro,False,N/A,N/A,N/A,N/A
